Title,Type,Series,Publisher,Year,ISSN,ISBN,DOI,Affiliation
Bio-Inspired Dopamine Functionalization of Polypyrrole for Improved Adhesion and Conductivity,journal-article,Macromolecular Rapid Communications,Wiley,2014,1022-1336,,https://doi.org/10.1002/marc.201400509,Waterloo Institute for Nanotechnology; University of Waterloo; 200 University Avenue West Waterloo Ontario Canada N2L 3G1
An Integrated Modular On-line Experiment Platform Proposal for Simulation-Based Experiments with Domain Experts as Participants,journal-article,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,SAGE Publications,2014,1541-9312,,https://doi.org/10.1177/1541931214581482,"Human in Complex Systems Lab, University of Waterloo"
Differential expression of the seven rRNA operon promoters from the plant growth-promoting bacteriumPseudomonassp. UW4,journal-article,FEMS Microbiology Letters,Oxford University Press (OUP),2014,0378-1097,,https://doi.org/10.1111/1574-6968.12629,Department of Biology; University of Waterloo; Waterloo ON Canada
“i've got to go now. bis dann”: Teaching Closing Sequences,journal-article,Die Unterrichtspraxis/Teaching German,Wiley,2014,0042-062X,,https://doi.org/10.1111/tger.10169,University of Waterloo
Sexuality in “primitive” society,reference-entry,The International Encyclopedia of Human Sexuality,"John Wiley & Sons, Ltd",2014,,9781118896877,https://doi.org/10.1002/9781118896877.wbiehs472,University of Waterloo; Ontario Canada
"“Whose job is it, really?” physicians', nurses', and pharmacists' perspectives on completing inpatient medication reconciliation",journal-article,Journal of Hospital Medicine,"Frontline Medical Communications, Inc.",2014,1553-5592,,https://doi.org/10.1002/jhm.2289,School of Public Health and Health Systems; University of Waterloo; Waterloo Ontario Canada
"Anne Newman, Realizing Educational Rights: Advancing School Reform Through Courts and Communities and Bryan R. Warnick, Understanding Student Rights in Schools: Speech, Religion, and Privacy in Educational Settings",journal-article,Educational Theory,Wiley,2014,0013-2004,,https://doi.org/10.1111/edth.12088,Renison University College; University of Waterloo
A Pilot Study Examining Patient Attitudes and Intentions to Adopt Assistive Technologies Into Type 2 Diabetes Self-Management,journal-article,Journal of Diabetes Science and Technology,SAGE Publications,2014,1932-2968,,https://doi.org/10.1177/1932296814560395,"School of Public Health and Health Systems, University of Waterloo, Waterloo, ON, Canada"
Recent trials in neurology that should influence your practice,journal-article,Canadian Pharmacists Journal / Revue des Pharmaciens du Canada,SAGE Publications,2014,1715-1635,,https://doi.org/10.1177/1715163514560563,"University of Waterloo School of Pharmacy (Foley), Kitchener, Ontario"
An integrated vehicle dynamic control strategy for three-wheeled vehicles,journal-article,"Proceedings of the Institution of Mechanical Engineers, Part K: Journal of Multi-body Dynamics",SAGE Publications,2014,1464-4193,,https://doi.org/10.1177/1464419314558741,"Department of Mechanical and Mechatronics Engineering, University of Waterloo, Canada"
"Accounting and Auditing Activities of the Ontario Securities Commission, 1960s to 2008 Part 3: The Fifth Chief Accountant, 1996-2008",journal-article,Accounting Perspectives,Wiley,2014,1911-382X,,https://doi.org/10.1111/1911-3838.12035,University of Waterloo
Intermolecular Interactions of CpFePPh3(CO)CO(CH2)5CH3: From a Crystalline Solid to a Supramolecular “Iron-Truss” Polymer,journal-article,ACS Macro Letters,American Chemical Society (ACS),2014,2161-1653,,https://doi.org/10.1021/mz5006603,"Departmentof Chemistry and Waterloo Institute for Nanotechnology, University of Waterloo, 200 University Avenue West, Waterloo, Ontario N2L3G1, Canada"
"Sex and Drugs before Rock ‘n’ Roll: Youth Culture and Masculinity during Holland's Golden Age. By Benjamin B. Roberts. (Amsterdam, Netherlands: Amsterdam University Press, 2012. Pp. 318. $45.00.)",journal-article,Historian,Wiley,2014,0018-2370,,https://doi.org/10.1111/hisn.12054_59,Conrad Grebel University College; University of Waterloo
